Name,Unit,Expression,Value,Comments,Favorite
d27_Copy,mm,1.3761029219 mm,1.376,,false
d18_Copy,mm,1.3330440114 mm,1.333,,false
d29_Copy,mm,0.4435169099 mm,0.444,,false
d8_Copy,mm,1.2222243262 mm,1.222,,false
d21_Copy,mm,1.3286050472 mm,1.329,,false
d12_Copy,mm,1.4202225117 mm,1.42,,false
d15_Copy,mm,1.2173507694 mm,1.217,,false
d30_Copy,mm,1.2459994807 mm,1.246,,false
d3_Copy,mm,1.6928536569 mm,1.693,,false
d4_Copy,mm,1.5017744545 mm,1.502,,false
d10_Copy,mm,1.4241558218 mm,1.424,,false
d28_Copy,mm,1.0155430098 mm,1.016,,false
d1_Copy,mm,1.3129152393 mm,1.313,,false
d19_Copy,mm,0.9955500408 mm,0.996,,false
d16_Copy,mm,1.4761022691 mm,1.476,,false
d14_Copy,mm,0.9348465066 mm,0.935,,false
d5_Copy,mm,0.9552020985 mm,0.955,,false
d9_Copy,mm,1.480651265 mm,1.481,,false
d6_Copy,mm,1.4388645449 mm,1.439,,false
d17_Copy,mm,1.3268539065 mm,1.327,,false
d20_Copy,mm,1.2528425344 mm,1.253,,false
d34_Copy,mm,1.5411604116 mm,1.541,,false
d26_Copy,mm,1.0932829757 mm,1.093,,false
d2_Copy,mm,1.2827876058 mm,1.283,,false
d33_Copy,mm,1.0461643018 mm,1.046,,false
d32_Copy,mm,1.4018524004 mm,1.402,,false
d13_Copy,mm,1.4808020301 mm,1.481,,false
d31_Copy,mm,1.1271960867 mm,1.127,,false
d25_Copy,mm,1.0725856099 mm,1.073,,false
d11_Copy,mm,1.3691124992 mm,1.369,,false
d24_Copy,mm,1.2714067997 mm,1.271,,false
d22_Copy,mm,1.3267225028 mm,1.327,,false
d7_Copy,mm,1.3023414192 mm,1.302,,false
d23_Copy,mm,1.4370098683 mm,1.437,,false
